,Unnamed: 0,Tweet_ID,Tweet_Text,Date,In_reply,Retweet_count,Favorite_count,Account,Is_RT,Year,Full_Date,Day,Month,Mention,Hashtag,Engagement_count,week_bin,month_week
18,18,1511052544298082305,@ugh_baepsae7 time to truly be a touch typist now,4,ugh_baepsae7,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@ugh_baepsae7,none,0,1,"Apr, Week 1"
19,19,1511013630380318727,@pengthegamer Hi there! Sorry for the late reply. Please kindly check your DM 🙃,4,pengthegamer,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@pengthegamer,none,1,1,"Apr, Week 1"
20,20,1510989803764035595,"@rex_gunderman Please send us a DM, we will help you!",4,rex_gunderman,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@rex_gunderman,none,1,1,"Apr, Week 1"
21,21,1510989573752504325,"@mayofj3 Hi there, please send us a DM, and we will help you!",4,mayofj3,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@mayofj3,none,0,1,"Apr, Week 1"
22,22,1510971152717398021,@ghfbiii Looks great. 🤩,4,ghfbiii,0,2,HyperX,N,2022,Mon Apr 04,Mon,Apr,@ghfbiii,none,2,1,"Apr, Week 1"
23,23,1510970927416324100,@Tempestxyt Thank you for your positive feedback. ☺️,4,Tempestxyt,0,2,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Tempestxyt,none,2,1,"Apr, Week 1"
24,24,1510969481933295617,@Muffin65786187 Thank you for your positive feedback. ☺️,4,Muffin65786187,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Muffin65786187,none,0,1,"Apr, Week 1"
25,25,1510893990350147593,@sadiesnuts Looks great. 🤩,4,sadiesnuts,0,1,HyperX,N,2022,Mon Apr 04,Mon,Apr,@sadiesnuts,none,1,1,"Apr, Week 1"
26,26,1510880262716104705,@Emredo10 Cloud II Wireless firmware can only be installed through our NGENUITY software and there are currently no new updaters.,4,Emredo10,0,0,HyperX,N,2022,Mon Apr 04,Mon,Apr,@Emredo10,none,0,1,"Apr, Week 1"
27,27,1510081928585613315,@Livnupbtw bet,2,Livnupbtw,0,22,HyperX,N,2022,Sat Apr 02,Sat,Apr,@Livnupbtw,none,22,1,"Apr, Week 1"
28,28,1510058121934241798,@kxcyy_ 😭 FORGIVE US,2,kxcyy_,0,5,HyperX,N,2022,Sat Apr 02,Sat,Apr,@kxcyy_,none,5,1,"Apr, Week 1"
29,29,1510044939081580549,@Joltox We will send this request to the product team,2,Joltox,0,0,HyperX,N,2022,Sat Apr 02,Sat,Apr,@Joltox,none,0,1,"Apr, Week 1"
30,30,1510040763937144834,@symphxia 😭 SORRY FRIEND,1,symphxia,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@symphxia,none,1,1,"Apr, Week 1"
31,31,1510034548750442501,"@DawesCooper frrrr, the world has to knowww 😊",1,DawesCooper,0,4,HyperX,N,2022,Fri Apr 01,Fri,Apr,@DawesCooper,none,4,1,"Apr, Week 1"
32,32,1510034424250912776,@RetroNixVT Sure! What features are you looking for in a headset? What systems do you plan to use the headset with?… https://t.co/LGKCcy0TX8,1,Harmonixofchaos,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@RetroNixVT,none,2,1,"Apr, Week 1"
33,33,1510033880048455682,"@Bl1tzcrankk We're working on it, just hang tight. We'll get it posed up on our site as soon as it's available, you… https://t.co/4QMyONDOAK",1,Bl1tzcrankk,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Bl1tzcrankk,none,1,1,"Apr, Week 1"
34,34,1510032788623269891,@yoojpls 😭 https://t.co/9T1L9Rrapu,1,yoojpls,0,7,HyperX,N,2022,Fri Apr 01,Fri,Apr,@yoojpls,none,7,1,"Apr, Week 1"
35,35,1510032620851183627,"@Myke117 Purple is good too 🤔, thanks for the suggestion!",1,Myke117,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Myke117,none,2,1,"Apr, Week 1"
36,36,1510031083294892035,@JUS_TACO Nice setup! 👍,1,JUS_TACO,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@JUS_TACO,none,1,1,"Apr, Week 1"
37,37,1510027952267964417,@THEEANGELOFDEAT Hey there! Is there any features you are looking for in a headset? What systems do you plan to use… https://t.co/7XMybGBfjU,1,THEEANGELOFDEAT,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@THEEANGELOFDEAT,none,1,1,"Apr, Week 1"
38,38,1510027285646163968,"@Tired_Brandon We're glad you liked it! Just a heads up that if you need new earpads, there are aftermarket brands… https://t.co/xlykjpwgdM",1,Tired_Brandon,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Tired_Brandon,none,0,1,"Apr, Week 1"
39,39,1510024580961746944,@BabaTheSlime 😘 https://t.co/9pO2h0u3Kn,1,BabaTheSlime,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@BabaTheSlime,none,1,1,"Apr, Week 1"
40,40,1510023652598857729,@flask_gg Earth Day 3000~,1,flask_gg,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@flask_gg,none,1,1,"Apr, Week 1"
41,41,1510022756905230339,@GamerInk83 we're sorry allergy friends 🤧,1,GamerInk83,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@GamerInk83,none,2,1,"Apr, Week 1"
42,42,1510022657709940746,@GrabLabs the sweat will be enough,1,GrabLabs,0,6,HyperX,N,2022,Fri Apr 01,Fri,Apr,@GrabLabs,none,6,1,"Apr, Week 1"
43,43,1510022581646237697,@JustCallMeNat_L it's only just begun,1,JustCallMeNat_L,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@JustCallMeNat_L,none,1,1,"Apr, Week 1"
44,44,1510021956158042118,@Awall222 Are you looking for any features with the headset? We can help you find a model depending on what you are… https://t.co/1z2xAli3QN,1,Awall222,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Awall222,none,0,1,"Apr, Week 1"
45,45,1510019678621548552,"@NickfinFinn We agree, sorry to hear that you weren't able to get a solid connection with our phone support! Let's… https://t.co/qgtO5Dg4Ps",1,NickfinFinn,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@NickfinFinn,none,0,1,"Apr, Week 1"
46,46,1509980538605506562,@mamazanobia @TheLunaGalaxy @SteelSeries @Razer It's just a matter of preference,1,mamazanobia,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@mamazanobia,none,2,1,"Apr, Week 1"
47,47,1509964195504136194,@RickWanders you really gotta get a feeeeell for them 😌,1,RickWanders,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@RickWanders,none,1,1,"Apr, Week 1"
48,48,1509964042395287552,@duckie71 love you 😝,1,duckie71,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@duckie71,none,1,1,"Apr, Week 1"
49,49,1509963738966863880,@UmiNoKaiju1 sending some your way 😜,1,UmiNoKaiju1,0,5,HyperX,N,2022,Fri Apr 01,Fri,Apr,@UmiNoKaiju1,none,5,1,"Apr, Week 1"
50,50,1509963585056755712,@YouAreRAD thanks for all the help and reminders 🥰,1,YouAreRAD,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@YouAreRAD,none,1,1,"Apr, Week 1"
51,51,1509963310807937026,@Dilpickle1 cause the 2nd one was real 👀,1,Dilpickle1,0,4,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Dilpickle1,none,4,1,"Apr, Week 1"
52,52,1509941947363856389,@nanoade_ whoa reverse uno,1,nanoade_,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@nanoade_,none,2,1,"Apr, Week 1"
53,53,1509934574565953537,@Rickitis it can now 😳 https://t.co/7WvZ5jUbQU,1,Rickitis,0,6,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Rickitis,none,6,1,"Apr, Week 1"
54,54,1509932519528886273,@Oinkerella 😭 LOVE YOU,1,Oinkerella,1,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Oinkerella,none,3,1,"Apr, Week 1"
55,55,1509932442634792962,@AloofPlays 🧐,1,AloofPlays,0,6,HyperX,N,2022,Fri Apr 01,Fri,Apr,@AloofPlays,none,6,1,"Apr, Week 1"
56,56,1509932387039211521,@benchbiter love ya 😘,1,benchbiter,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@benchbiter,none,1,1,"Apr, Week 1"
57,57,1509932195716079617,"@MoistFoodItems upset cause you're the one telling everyone to touch grass huh 🙊

NOW WE CAN 😤",1,MoistFoodItems,0,88,HyperX,N,2022,Fri Apr 01,Fri,Apr,@MoistFoodItems,none,88,1,"Apr, Week 1"
58,58,1509931547364716547,@kcoyote69 thanks for taking the hit friend 🤝,1,kcoyote69,0,5,HyperX,N,2022,Fri Apr 01,Fri,Apr,@kcoyote69,none,5,1,"Apr, Week 1"
59,59,1509931282280509442,@Dagur25 you get us https://t.co/VmTKX5jmrH,1,Dagur25,0,16,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Dagur25,none,16,1,"Apr, Week 1"
60,60,1509929082128982017,"@pikbiLIVE yes yes thank you friend, we appreciate it. Hope you enjoy 😚",1,pikbiLIVE,0,10,HyperX,N,2022,Fri Apr 01,Fri,Apr,@pikbiLIVE,none,10,1,"Apr, Week 1"
61,61,1509928896199680008,@TMG_1991 🤣 coming to you Earth Day~,1,TMG_1991,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@TMG_1991,none,1,1,"Apr, Week 1"
62,62,1509928797109297152,@EquusHorsley always thinking about the HX fam 😘,1,EquusHorsley,0,3,HyperX,N,2022,Fri Apr 01,Fri,Apr,@EquusHorsley,none,3,1,"Apr, Week 1"
63,63,1509928695787450384,@aurasaturn2 😤 https://t.co/UHreAQSg8T,1,aurasaturn2,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@aurasaturn2,none,1,1,"Apr, Week 1"
64,64,1509928003987382274,@Digiileo what could you mean 🫣,1,Digiileo,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Digiileo,none,0,1,"Apr, Week 1"
65,65,1509927807769489414,@LetsGoLeo_ exaccttttllyyyy 🙌,1,LetsGoLeo_,0,3,HyperX,N,2022,Fri Apr 01,Fri,Apr,@LetsGoLeo_,none,3,1,"Apr, Week 1"
66,66,1509927735623258117,@MomoMischief cause we all need this in our lives 😉,1,MomoMischief,1,127,HyperX,N,2022,Fri Apr 01,Fri,Apr,@MomoMischief,none,128,1,"Apr, Week 1"
67,67,1509927607470477317,@CraftyLeviathan 😏 just as planned,1,CraftyLeviathan,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@CraftyLeviathan,none,1,1,"Apr, Week 1"
68,68,1509927506773782535,@mariasouthgate thank you 😌🧠,1,mariasouthgate,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@mariasouthgate,none,1,1,"Apr, Week 1"
69,69,1509927246915530755,@brianplayslive 👀 it'll go great with our line right now,1,brianplayslive,0,4,HyperX,N,2022,Fri Apr 01,Fri,Apr,@brianplayslive,none,4,1,"Apr, Week 1"
70,70,1509927120276889601,@MissNytrex 👀!?,1,MissNytrex,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@MissNytrex,none,2,1,"Apr, Week 1"
71,71,1509927050882142212,@Andysolo54 😂 thanks for playin Andy,1,Andysolo54,0,3,HyperX,N,2022,Fri Apr 01,Fri,Apr,@Andysolo54,none,3,1,"Apr, Week 1"
72,72,1509926960658411523,"@lifeisstrangc don't be sad, now you can touch grass ☺️",1,lifeisstrangc,0,3,HyperX,N,2022,Fri Apr 01,Fri,Apr,@lifeisstrangc,none,3,1,"Apr, Week 1"
73,73,1509926755338883072,@SloshyAbyss KFJALKDSFJKLADSFJ KJA,1,SloshyAbyss,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@SloshyAbyss,none,2,1,"Apr, Week 1"
74,74,1509926692919209985,@NotPotatos https://t.co/WRhNYPDC6J,1,NotPotatos,0,32,HyperX,N,2022,Fri Apr 01,Fri,Apr,@NotPotatos,none,32,1,"Apr, Week 1"
75,75,1509926592792858629,@San4311 😬,1,San4311,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@San4311,none,0,1,"Apr, Week 1"
76,76,1509926395509497865,@batmannerss 😉 Earth Day~,1,batmannerss,0,2,HyperX,N,2022,Fri Apr 01,Fri,Apr,@batmannerss,none,2,1,"Apr, Week 1"
77,77,1509926086553083908,"our TCH Grass keycaps are OUT NOW!
&gt;&gt; https://t.co/wztNkVfVzV https://t.co/4UlCa6vmAq",1,HyperX,99,818,HyperX,N,2022,Fri Apr 01,Fri,Apr,none,none,917,1,"Apr, Week 1"
78,78,1509926073936621568,"for anyone who's ever been told to go touch some grass, we gotchu 🌎💚

&gt;&gt; https://t.co/wztNkVfVzV https://t.co/JWYULSUB9x",1,none,1237,7854,HyperX,N,2022,Fri Apr 01,Fri,Apr,none,none,9091,1,"Apr, Week 1"
79,79,1509851724722413571,"@TWSvision Hi, please send us a DM in case you need help.",1,TWSvision,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@TWSvision,none,0,1,"Apr, Week 1"
80,80,1509825795686121496,@TWSvision Hello please send us a DM.,1,TWSvision,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@TWSvision,none,0,1,"Apr, Week 1"
81,81,1509797696520998952,@PlaidTTV Hi Plaid! We do not have that option for now :),1,PlaidTTV,0,0,HyperX,N,2022,Fri Apr 01,Fri,Apr,@PlaidTTV,none,0,1,"Apr, Week 1"
82,82,1509797440370659358,@JimboMansi_46 Hi Jimbo! Feel free to send us a DM so we have a look for you on that 🔍,1,JimboMansi_46,0,1,HyperX,N,2022,Fri Apr 01,Fri,Apr,@JimboMansi_46,none,1,1,"Apr, Week 1"
83,83,1509790578535510017,@catsen We are happy that you like your HyperX setup. Enjoy HyperX 🎧 😎,1,catsen,0,3,HyperX,N,2022,Fri Apr 01,Fri,Apr,@catsen,none,3,1,"Apr, Week 1"
84,84,1509681532511817753,@TwitterGaming 🥰 https://t.co/JpDIoJ0uJu,31,TwitterGaming,1,34,HyperX,N,2022,Thu Mar 31,Thu,Mar,@TwitterGaming,none,35,5,"Mar, Week 5"
85,85,1509642922148470784,@TWSvision Hey there! Have you hit up any of our support teams already to seek a replacement?,31,TWSvision,0,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@TWSvision,none,0,5,"Mar, Week 5"
86,86,1509590508623917058,@RadButKindaSad 🤔,31,RadButKindaSad,0,1,HyperX,N,2022,Thu Mar 31,Thu,Mar,@RadButKindaSad,none,1,5,"Mar, Week 5"
87,87,1509590049125396482,@rageheavy welcome to the fam 🙌,31,rageheavy,0,1,HyperX,N,2022,Thu Mar 31,Thu,Mar,@rageheavy,none,1,5,"Mar, Week 5"
88,88,1509587059966631946,@pengthegamer Hey there! Can you hit us up in a DM with a photo of the product info on the underside of the headband?,31,pengthegamer,0,2,HyperX,N,2022,Thu Mar 31,Thu,Mar,@pengthegamer,none,2,5,"Mar, Week 5"
89,89,1509571955673948160,"@WileE_Mike Hmm, there's not going to be much variation in terms of headband profile. At the very least, we don't c… https://t.co/WELg5JJziY",31,WileE_Mike,0,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@WileE_Mike,none,0,5,"Mar, Week 5"
90,90,1509561592165322755,"@PinqSav Hi there! Please drop us a DM, so we can assist you further 🚀 🙃",31,PinqSav,0,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@PinqSav,none,0,5,"Mar, Week 5"
91,91,1509521194252447749,@EoFalvins We will forward your feedback to our development department. 👍 💪,31,EoFalvins,0,1,HyperX,N,2022,Thu Mar 31,Thu,Mar,@EoFalvins,none,1,5,"Mar, Week 5"
92,92,1509519379884650500,@MerylStripTTV Thank you for your positive feedback. 👍 ☺️,31,MerylStripTTV,0,1,HyperX,N,2022,Thu Mar 31,Thu,Mar,@MerylStripTTV,none,1,5,"Mar, Week 5"
93,93,1509469722827448322,"@HUSLORR Hi, wir können gerne dabei helfen. Bitte schicke uns eine DM.",31,HUSLORR,0,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@HUSLORR,none,0,5,"Mar, Week 5"
94,94,1509341080222797827,@SukioFPS magiccc and love 🧙💞,31,SukioFPS,1,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@SukioFPS,none,1,5,"Mar, Week 5"
95,95,1509340385574895620,@BiscuitBasher Send us a DM! Let's see what we can do. 😄,31,BiscuitBasher,0,0,HyperX,N,2022,Thu Mar 31,Thu,Mar,@BiscuitBasher,none,0,5,"Mar, Week 5"
96,96,1509314832356548620,@WileE_Mike Hey there! We can provide recommendations from our lineup depending on what you are looking for. Are yo… https://t.co/7rusWSh76D,30,WileE_Mike,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@WileE_Mike,none,1,5,"Mar, Week 5"
97,97,1509290547198021633,"@j5dyer Hey there! Sorry, 5 years is way outside of the warranty period for any of our headsets. However, depending… https://t.co/c8ZhvN86dB",30,j5dyer,0,0,HyperX,N,2022,Wed Mar 30,Wed,Mar,@j5dyer,none,0,5,"Mar, Week 5"
98,98,1509282839350571011,"@retrosnf The ones shown here are not, they are solid. Pudding keycaps refer to the bottoms being translucent, and… https://t.co/LLf1Xateiz",30,retrosnf,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@retrosnf,none,1,5,"Mar, Week 5"
99,99,1509281971393884164,"@lumeirae same, crying thinkin about them 🥹",30,lumeirae,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@lumeirae,none,1,5,"Mar, Week 5"
100,100,1509281858676133891,@ItzNefarious a great pair 🤩,30,ItzNefarious,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@ItzNefarious,none,1,5,"Mar, Week 5"
101,101,1509281787381366787,@MissNytrex we gotta live out our fantasy 😭,30,MissNytrex,0,2,HyperX,N,2022,Wed Mar 30,Wed,Mar,@MissNytrex,none,2,5,"Mar, Week 5"
102,102,1509281571215331329,@companiondish y-YESSS BESTIE https://t.co/4HENjTtB69,30,companiondish,0,25,HyperX,N,2022,Wed Mar 30,Wed,Mar,@companiondish,none,25,5,"Mar, Week 5"
103,103,1509278169911595010,@Andysolo54 until their next space adventure ;w;,30,Andysolo54,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Andysolo54,none,1,5,"Mar, Week 5"
104,104,1509278031549853697,@z2rMC gorgeous 🤩! go for a mix n match set 🤭,30,z2rMC,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@z2rMC,none,1,5,"Mar, Week 5"
105,105,1509277858216099840,@S1Yoel 👌😚,30,S1Yoel,0,0,HyperX,N,2022,Wed Mar 30,Wed,Mar,@S1Yoel,none,0,5,"Mar, Week 5"
106,106,1509277759301844992,@DylanSLiu gotta have a matching set for everything 😌,30,DylanSLiu,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@DylanSLiu,none,1,5,"Mar, Week 5"
107,107,1509277452018745347,@Telominas veryyy 😍,30,Telominas,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Telominas,none,1,5,"Mar, Week 5"
108,108,1509277403348041730,"@retrosnf nw fam, we've had black and white pudding keycaps, but now we got solid colors WITH PINK 🌸",30,retrosnf,0,4,HyperX,N,2022,Wed Mar 30,Wed,Mar,@retrosnf,none,4,5,"Mar, Week 5"
109,109,1509268121877635079,"which one are u copping for ur setup 👀
&gt;&gt; https://t.co/BXVU7G5A5f https://t.co/qJ847iI8xR",30,HyperX,3,109,HyperX,N,2022,Wed Mar 30,Wed,Mar,none,none,112,5,"Mar, Week 5"
110,110,1509268110603341828,"PBT keycaps are HERE in 3 COLORS 😗

yes, they come in PINK 🌸

https://t.co/BXVU7G5A5f https://t.co/fMpxuQdgzG",30,none,36,926,HyperX,N,2022,Wed Mar 30,Wed,Mar,none,none,962,5,"Mar, Week 5"
111,111,1509253351875129344,@CibiTheGamer it does take up a lot of room 😅,30,CibiTheGamer,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@CibiTheGamer,none,1,5,"Mar, Week 5"
112,112,1509253231012052995,@Neyyko_ it stays 😙,30,Neyyko_,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Neyyko_,none,1,5,"Mar, Week 5"
113,113,1509253084295299073,@no1HBstan we gotta get gold first 🤣,30,no1HBstan,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@no1HBstan,none,1,5,"Mar, Week 5"
114,114,1509253003525591041,@ruincrown we could never 😭,30,ruincrown,0,2,HyperX,N,2022,Wed Mar 30,Wed,Mar,@ruincrown,none,2,5,"Mar, Week 5"
115,115,1509252877495115780,"@EquusHorsley only for 5 min, then it comes back 😬",30,EquusHorsley,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@EquusHorsley,none,1,5,"Mar, Week 5"
116,116,1509244095000199173,spring cleaning the pc... what game should we uninstall https://t.co/OHEEkQV7q7,30,none,3,103,HyperX,N,2022,Wed Mar 30,Wed,Mar,none,none,106,5,"Mar, Week 5"
117,117,1509242288664240131,@Deesast3r 😆 https://t.co/Tm80zcVWVd,30,Deesast3r,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Deesast3r,none,1,5,"Mar, Week 5"
118,118,1509241989669216265,@the_sgtsemperfi they do come in handy,30,the_sgtsemperfi,0,0,HyperX,N,2022,Wed Mar 30,Wed,Mar,@the_sgtsemperfi,none,0,5,"Mar, Week 5"
119,119,1509241378110287874,@EXCEL @asking_g2 @Asking_XL @FostyLoL @secretlabchairs @JoeyYoungbuck /sweats 🫣,30,EXCEL,0,5,HyperX,N,2022,Wed Mar 30,Wed,Mar,@EXCEL,none,5,5,"Mar, Week 5"
120,120,1509240935619604481,@Jbrews11 it's awesome people like you we're thankful for 🥺💓,30,Jbrews11,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Jbrews11,none,1,5,"Mar, Week 5"
121,121,1509240765599215618,@TheGamingAdvisr HMMMM 🧐,30,TheGamingAdvisr,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@TheGamingAdvisr,none,1,5,"Mar, Week 5"
122,122,1509240552495083520,@ipoeseph 🙌 https://t.co/3oREp9uk3A,30,ipoeseph,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@ipoeseph,none,1,5,"Mar, Week 5"
123,123,1509238639422701570,@Wipz @Twitter #verifywipz 😤,30,Wipz,1,34,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Wipz,#verifywipz,35,5,"Mar, Week 5"
124,124,1509238412984741891,@companiondish (:,30,companiondish,0,60,HyperX,N,2022,Wed Mar 30,Wed,Mar,@companiondish,none,60,5,"Mar, Week 5"
125,125,1509230951292936193,"@lao_tsetung Hey, Soda! Try factory resetting the mouse and see if that resolves the issue. Hold down the DPI and w… https://t.co/v6QjarmMB6",30,lao_tsetung,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@lao_tsetung,none,1,5,"Mar, Week 5"
126,126,1509226662793207815,@EttaGnome ❤️,30,EttaGnome,0,0,HyperX,N,2022,Wed Mar 30,Wed,Mar,@EttaGnome,none,0,5,"Mar, Week 5"
127,127,1509226439723425804,@Billy__Dingus Please hit us up in a DM with a photo of the product info on the underside of the headband! We'll ne… https://t.co/kGpllIy5wJ,30,Billy__Dingus,0,1,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Billy__Dingus,none,1,5,"Mar, Week 5"
128,128,1509222571811782656,"@Billy__Dingus Have you tried connecting to a different system entirely without using the USB adapter, just to isol… https://t.co/iwWF09xHj8",30,Billy__Dingus,0,0,HyperX,N,2022,Wed Mar 30,Wed,Mar,@Billy__Dingus,none,0,5,"Mar, Week 5"
